adid,afirst,alast,dob,ph,address,email
1,Annie,B,01/28/1980,5637930936,"465, 45st",ab@nyu.edu
2,Beanie,C,04/03/1985,6574923040,"547, 57st",bc@nyu.edu
3,Ceanie,D,10/25/1976,7685768907,"574, 78st",cd@nyu.edu
4,Berry,B,10/06/1976,6789056789,"232, 12st",bb@nyu.edu
5,Cherry,C,06/05/1955,6785674567,"169, 34st",cc@nyu.edu
6,Derry,D,02/16/1955,5678904568,"384, 45st",dd@nyu.edu
7,Erry,E,07/24/1998,5647382948,"373, 45st",ee@nyu.edu
8,Ferry,F,05/29/1976,9872346737,"626, 56st",ff@nyu.edu
9,Jerry,T,02/16/1948,6347381738,"123, 54st",jt@nyu.edu
10,Tom,F,03/23/1955,6578902378,"477, 45st",tf@nyu.edu
11,Bom,L,04/24/1955,2538905678,"848, 34st",bl@nyu.edu
12,Ross,H,06/05/1949,5674563456,"234, 65st",rh@nyu.edu
13,Kathy,U,03/23/1976,5758393098,"239, 56st",ku@nyu.edu
14,Rimmy,B,03/14/1955,7684930294,"120, 45st",rb@nyu.edu
15,Bimmy,K,07/24/1975,6748203490,"356, 36st",bk@nyu.edu
16,Gosh,B,01/25/1955,5769201375,"234, 56st",gb@nyu.edu
17,Josh,H,03/23/1953,3794028594,"475, 34st",jh@nyu.edu
18,Tosh,B,04/24/1976,5849285678,"q272, 56st",tb@nyu.edu
19,Perry,M,06/05/1955,8489023456,"485, 24st",pm@nyu.edu
20,Jack,G,10/25/1996,5673893867,"473, 34st",jg@nyu.edu
