sid,sfirst,slast,ph,email,address,dob,dept,program
1,Rigveda,V,6467891223,rv2205@nyu.edu,"67th st, 5th ave",01/28/2000,CS,MS
2,Sindhu,B,6568320998,sb2279@nyu.edu,"73rd st, 3rd ave",04/03/1997,CS,MS
3,Chaksu,G,7675641223,cg4456@nyu.edu,"64th st, 6th ave",10/25/1996,BI,MS
4,Niharika,K,6564781223,nk2456@nyu.edu,"55st st, 3rd ave",10/06/1998,CE,BS
5,Aarushi,G,7546578990,ag1156@nyu.edu,"64th st, 5th ave",06/05/2000,Mech,BS
6,Sowmya,Y,6567890234,sy1245@nyu.edu,"71st st, 4th ave",02/16/2019,CE,MS
7,Shravani,G,7589031527,sg7689@nyu.edu,"89th st, 5th ave",07/24/1998,Mech,BS
8,Lakshana,B,6890986775,lb5678@nyu.edu,"67th st, 8th ave",05/29/2000,CS,MS
9,Ron,R,5678902334,rr5612@nyu.edu,"68th st, 3rd ave",02/16/2010,Mech,MS
10,Don,D,5678901223,dd464@nyu.edu,"72nd st, 5th ave",03/23/2001,CE,BS
11,Hill,H,6578902334,hh3678@nyu.edu,"74th st, 4th ave",04/24/2000,BI,MS
12,Bill,B,5678902345,bb6573@nyu.edu,"73rd st, 3rd ave",06/05/2000,BI,BS
13,Aditi,S,6567890987,as1234@nyu.edu,"71st st, 4th ave",03/23/2001,CS,MS
14,Barfi,G,5678900234,bg5678@nyu.edu,"70th st, 6th ave",03/14/2000,CS,BS
15,Amy,H,6789012345,ah7689@nyu.edu,"62nd st, 5th ave",07/24/1998,CE,MS
16,Chandler,B,5657891234,cb2638@nyu.edu,"56th st, 7th ave",01/25/2000,CS,BS
17,Monica,G,6467891234,mg3526@nyu.edu,"56th st, 5th ave",03/23/2001,Mech,MS
18,Rachel,G,6467891234,rg2637@nyu.edu,"67th st, 6th ave",04/24/2000,BI,BS
19,Ross,G,6890986775,rg2567@nyu.edu,"70th st, 6th ave",06/05/2000,Mech,MS
20,Phoebe,B,6768904567,pb2637@nyu.edu,"64th st, 6th ave",10/25/1996,BI,BS
